,Open,High,Low,pred
0,140.6500,140.6725,140.4297,140.66349160928135
0,140.6800,140.7400,140.6333,140.86636135696477
0,140.7150,140.7350,140.6600,140.86347072350554
0,140.6100,140.7287,140.5900,140.86397084701406
0,140.6490,140.6500,140.5700,140.76279167610204
0,140.5650,140.6450,140.5411,140.78566046667845
0,140.4800,140.5900,140.4400,140.71054150537134
0,140.3800,140.5050,140.2600,140.5558588325189
0,140.5100,140.5400,140.3800,140.60395223308257
0,140.3900,140.5300,140.3800,140.66858688091017
0,140.4000,140.5350,140.3600,140.64987589401795
0,140.5741,140.5750,140.3400,140.559330577685
0,140.7000,140.8000,140.5300,140.8153422360498
0,140.8800,140.8800,140.6700,140.88476059224632
0,140.7700,140.9383,140.7000,141.02121880115592
0,140.6700,140.7700,140.5900,140.85983143250826
0,140.7700,140.7900,140.5400,140.77362762407026
0,140.7800,140.8000,140.6500,140.86643233564865
0,140.5000,140.7900,140.5000,140.90340293763086
0,140.4100,140.5700,140.4100,140.71240944372505
0,140.4200,140.4600,140.3300,140.55475216225858
0,140.2700,140.5400,140.2700,140.65767124915357
0,140.3800,140.4050,140.1600,140.395438011784
0,140.3000,140.5425,140.2500,140.62495344200724
0,140.2150,140.3300,140.1300,140.41192656420532
0,139.7800,140.2300,139.7800,140.3069561238384
0,139.6700,139.8400,139.5200,139.85531342756767
0,139.3900,139.6700,139.3600,139.7598043052946
0,139.4800,139.5301,139.3400,139.5803497845172
0,139.4000,139.5600,139.2200,139.5524695882599
0,139.2000,139.4100,139.1631,139.50958310685823
0,139.0400,139.2000,139.0000,139.30806012185928
0,138.8650,139.0850,138.7100,139.08426284534528
0,139.1200,139.1350,138.7100,138.9692314334631
0,138.6800,139.1900,138.6500,139.22770404348495
0,138.8000,138.8975,138.6034,138.88967067563277
0,138.4200,138.8300,138.3200,138.8318883141206
0,138.5400,138.6700,138.4000,138.70152758591132
0,138.5800,138.6658,138.3100,138.59961879280905
0,138.2650,138.5900,138.0000,138.47415475845324
0,138.1700,138.7700,138.1700,138.81194707938226
0,137.0000,138.2200,136.9300,138.06421434004284
0,136.4100,136.5000,136.2100,136.4888861729629
0,136.6150,136.6700,136.3700,136.62964351855243
0,136.9200,136.9600,136.5450,136.81563937235745
0,136.8600,136.9900,136.6500,136.96206099169143
0,136.8299,137.0900,136.7800,137.16548015050148
0,137.2500,137.2500,136.7800,137.0362299206252
0,137.5000,137.6100,137.1800,137.49603575459474
0,137.2300,137.5800,137.1100,137.57768482193484
0,137.2000,137.3600,136.7300,137.11038514412928
0,137.2700,137.3400,136.9600,137.2430586197546
0,137.2100,137.6400,137.1700,137.68600350726012
0,136.7500,137.6900,136.3200,137.29857482044514
0,136.3900,136.8200,136.1600,136.70795480619483
0,136.5200,136.5700,135.0800,135.5412679752483
0,137.4300,137.4300,136.4800,136.8189721774425
0,138.0100,138.1100,137.3800,137.7420647618759
0,139.0000,139.0900,137.9200,138.3526110631331
0,138.7700,139.0600,138.7600,139.16356885082274
0,138.6200,138.8100,138.6200,138.94408854416025
0,138.8100,138.8700,138.5400,138.80979818787347
0,139.0100,139.0650,138.8000,139.0557740813282
0,138.7500,139.0500,138.6300,139.06023809049717
0,138.5100,139.0100,138.4650,139.03736941938214
0,138.9100,138.9900,138.3200,138.66046674011335
0,138.7400,138.9900,138.7000,139.07765313822958
0,138.9600,138.9800,138.7300,138.96200122480653
0,138.7350,138.9600,138.7300,139.08222087579844
0,138.7300,138.8048,138.6900,138.93164498653002
0,138.7500,138.8300,138.7300,138.972258607911
0,138.6800,138.7500,138.6200,138.86131490863434
0,138.7600,138.7742,138.6500,138.85667412781953
0,138.7700,138.8000,138.7250,138.93276510029287
0,138.8050,138.8100,138.7100,138.90699241333192
0,138.8750,138.8850,138.8000,138.99749571267978
0,138.9150,138.9600,138.8700,139.0895391561648
0,138.9700,138.9900,138.9000,139.10448337195317
0,138.9900,139.0300,138.9500,139.16486507995742
0,138.9250,139.0000,138.8700,139.11455609763772
0,138.9900,139.0150,138.9200,139.12838259795512
0,138.9500,138.9900,138.9100,139.12482913743227
0,138.9950,139.0150,138.9200,139.125366049734
0,138.9900,139.0100,138.9600,139.15761963359455
0,139.0150,139.0500,138.9800,139.19014607559365
0,139.1100,139.1100,139.0000,139.19596586145485
0,139.1400,139.1700,139.0300,139.24928034678507
0,139.1100,139.1450,139.0500,139.26453250760412
0,139.1200,139.1800,139.0600,139.29394776693238
0,139.2200,139.2600,139.1000,139.32883516871948
0,139.1600,139.2700,139.1100,139.38107582944616
0,139.1700,139.2000,139.1100,139.3207051666525
0,139.1200,139.2155,139.0900,139.34634339336617
0,139.1200,139.1700,139.0500,139.27790568485887
0,139.1400,139.1600,139.0400,139.249797409901
0,139.1500,139.2750,139.1100,139.39099018062774
0,139.2900,139.3100,139.1200,139.34197518620743
0,139.2900,139.3300,139.2500,139.4651346488962
0,139.3000,139.3613,139.2116,139.4516046483589
0,139.4950,139.5454,139.3000,139.5500584889776
0,139.4800,139.5200,139.4200,139.6387462307013
0,139.2600,139.4812,139.2600,139.6088826541367
0,138.8900,139.2600,138.8800,139.3457767542285
0,138.8938,138.9500,138.8400,139.06972809335934
0,138.9102,139.0000,138.8300,139.09036678999337
0,139.1000,139.1100,138.8900,139.11092365935525
0,139.2200,139.2373,139.0900,139.30293469960793
0,139.2500,139.2900,139.1300,139.35886212561334
0,139.3000,139.3596,139.2250,139.4613796490244
0,139.2800,139.4552,139.2600,139.57663393660744
0,139.5500,139.5658,139.2000,139.44991625193515
0,139.6400,139.7050,139.5200,139.7686188389307
0,139.5900,139.7600,139.5500,139.86631684105907
0,139.5600,139.6900,139.5200,139.80523984625006
0,139.4200,139.5900,139.3600,139.67960494013772
0,139.4100,139.5400,139.3100,139.60542762621247
0,139.6000,139.6300,139.2148,139.48183984801813
0,139.5400,139.8600,139.4700,139.90787083730027
0,139.7600,139.7866,139.3900,139.65192931523995
0,140.3300,140.3300,139.5669,139.87632322231207
0,140.4900,140.4900,140.1700,140.4033348540842
0,140.4600,140.6200,140.4300,140.73761565409737
0,140.3500,140.4800,140.3300,140.61250885631154
0,140.3300,140.3599,140.2600,140.47339030219274
0,140.2600,140.3481,140.2000,140.45678478053495
0,140.3450,140.3650,140.2300,140.4434608195795
0,140.3200,140.4300,140.3000,140.56695688046008
